Date,BLL,DISH,DVA,NEM,UDR,VFC
10/26/2012,19.76911163,34.58970642,55.50999832,44.49171829,17.69359398,29.43971443
10/31/2012,19.77834892,34.66754913,56.25999832,45.55164719,17.73012161,29.79000282
11/1/2012,20.05542755,35.02755356,56.18000031,44.41661453,17.87623215,30.40492439
11/2/2012,20.03233528,34.43402863,55.75,40.67767334,18.09539223,30.07175636
11/5/2012,19.95382881,33.88916016,55.81000137,40.38557434,18.00041962,30.21073532
11/6/2012,20.33248901,35.02755356,57.49000168,40.47737122,17.82509041,30.58767891
11/7/2012,20.30016327,34.16159439,56.40999985,40.67767334,17.69359398,29.99941826
11/8/2012,20.10159492,34.51187134,55.90999985,40.73608398,17.42329407,29.21507263
11/9/2012,20.24936676,34.89133453,56.21500015,40.11850357,17.1237793,29.1141758
11/12/2012,20.18010712,34.77457809,56.45000076,39.81805801,17.1091671,30.39920998
11/13/2012,20.02771378,34.219970700000005,56.30500031,39.38406754,17.04342079,29.801416399999997
11/14/2012,19.85685349,33.14968872,56.02500153,38.21564484,16.605093,29.40924835
11/15/2012,19.96767998,33.694561,56.44499969,37.99864578,16.44437599,29.29312706
11/16/2012,20.01386261,34.58970642,56.50999832,38.49105453,16.48820877,29.66435432
11/19/2012,20.61879921,34.074024200000004,57.0,39.05023193,16.69276428,29.88710022
11/20/2012,20.66498184,33.90861511,56.74000168,38.90835953,16.67084503,29.99751663
11/21/2012,20.60032654,34.14213562,55.00500107,39.29226303,16.59048271,29.85663223
11/23/2012,20.81275177,34.78430557,55.71500015,39.80136108,16.73658943,30.18027496
11/26/2012,20.67882919,34.34646225,55.0,39.5342865,16.75120544,29.94230652
11/27/2012,20.60956955,33.46104431,54.64500046,39.22549057,16.8900032,29.68719292
11/28/2012,20.66036224,33.694561,54.20000076,39.48422623,16.77311516,30.85991669
11/29/2012,20.70664215,34.81349564,53.79999924,39.26723099,16.81695175,30.80090141
11/30/2012,20.68350792,36.03946304,54.0,39.30060196,16.80963898,30.55721855
12/3/2012,20.33638191,35.59188843,53.27500153,38.12384415,16.83886147,30.66002655
12/4/2012,20.22530937,36.19514084,53.06499863,37.92198563,16.88269806,29.73479271
12/5/2012,20.18365288,35.15404129,53.15999985,36.97163391,16.91191673,29.47777367
12/6/2012,20.4520874,36.32162857,52.98500061,37.24918365,16.92653275,29.29208565
12/7/2012,20.43357658,36.66217422,53.24499893,37.35850525,16.82426262,29.21742058
12/10/2012,20.61407852,36.146491999999995,53.24499893,37.93883133,16.75850487,28.45926285
12/11/2012,20.71127129,36.02000046,53.77000046,38.0397377,16.72928429,28.96661568
12/12/2012,20.58168602,36.66999817,53.70500183,38.26682663,16.62701416,28.66412544
12/13/2012,20.61870956,36.20999908,53.49499893,37.14825058,16.51742935,28.22761154
12/14/2012,20.47986031,36.27999878,54.53499985,37.24918365,16.54664803,28.36927605
12/17/2012,20.45671844,36.22000122,54.85499954,37.56035614,16.74389648,28.93023682
12/18/2012,20.45671844,35.79000092,55.34000015,37.30804443,16.92653275,29.06999588
12/19/2012,20.62796211,35.61000061,55.43500137,36.79501724,16.904615399999994,28.95129967
12/20/2012,21.03987312,36.72999954,56.31999969,37.08937454,17.24065971,28.8421669
